source_models,source_checkpoints,target_model,target_checkpoint,attack,epsilon,alpha,steps,momentum,random_start,diversity_prob,resize_rate,samples,source_clean_acc,target_clean_acc,joint_clean_acc,adv_error_rate_all,transfer_asr_target_clean,transfer_asr_joint_clean,mean_ssim_target_clean,mean_ssim_joint_clean,transfer_score_target_clean,transfer_score_joint_clean,family,config_id,source_protocol
resnet34+vgg16+densenet121,models_public\resnet34_best.pt|models_public\vgg16_best.pt|models_public\densenet121_best.pt,resnet18,models_public\resnet18_best.pt,ensemble,0.0392156862745098,0.00392156862745098,15,1.0,False,0.0,0.9,32,1.0,0.9375,0.9375,1.0,1.0,1.0,0.9882641792297363,0.9882641792297363,98.82641792297363,98.82641792297363,ensemble,ens_e10_a1_s15_m1.0,leave_one_out_ensemble
resnet18+vgg16+densenet121,models_public\resnet18_best.pt|models_public\vgg16_best.pt|models_public\densenet121_best.pt,resnet34,models_public\resnet34_best.pt,ensemble,0.0392156862745098,0.00392156862745098,15,1.0,False,0.0,0.9,32,0.96875,1.0,0.96875,1.0,1.0,1.0,0.9881073832511902,0.9884046431510679,98.81073832511902,98.84046431510679,ensemble,ens_e10_a1_s15_m1.0,leave_one_out_ensemble
resnet18+resnet34+densenet121,models_public\resnet18_best.pt|models_public\resnet34_best.pt|models_public\densenet121_best.pt,vgg16,models_public\vgg16_best.pt,ensemble,0.0392156862745098,0.00392156862745098,15,1.0,False,0.0,0.9,32,1.0,0.96875,0.96875,0.9375,0.9354838709677419,0.9354838709677419,0.988229093880489,0.988229093880489,92.44723781462639,92.44723781462639,ensemble,ens_e10_a1_s15_m1.0,leave_one_out_ensemble
resnet18+resnet34+vgg16,models_public\resnet18_best.pt|models_public\resnet34_best.pt|models_public\vgg16_best.pt,densenet121,models_public\densenet121_best.pt,ensemble,0.0392156862745098,0.00392156862745098,15,1.0,False,0.0,0.9,32,1.0,0.96875,0.96875,1.0,1.0,1.0,0.9883578208185011,0.9883578208185011,98.83578208185011,98.83578208185011,ensemble,ens_e10_a1_s15_m1.0,leave_one_out_ensemble
resnet34+vgg16+densenet121,models_public\resnet34_best.pt|models_public\vgg16_best.pt|models_public\densenet121_best.pt,resnet18,models_public\resnet18_best.pt,ensemble,0.0392156862745098,0.00784313725490196,12,1.0,False,0.3,0.85,32,1.0,0.9375,0.9375,1.0,1.0,1.0,0.9874311765034993,0.9874311765034993,98.74311765034993,98.74311765034993,ensemble,ens_e10_a2_s12_m1.0_d0.3,leave_one_out_ensemble
resnet18+vgg16+densenet121,models_public\resnet18_best.pt|models_public\vgg16_best.pt|models_public\densenet121_best.pt,resnet34,models_public\resnet34_best.pt,ensemble,0.0392156862745098,0.00784313725490196,12,1.0,False,0.3,0.85,32,0.96875,1.0,0.96875,1.0,1.0,1.0,0.9872036874294281,0.9875197564401934,98.72036874294281,98.75197564401934,ensemble,ens_e10_a2_s12_m1.0_d0.3,leave_one_out_ensemble
resnet18+resnet34+densenet121,models_public\resnet18_best.pt|models_public\resnet34_best.pt|models_public\densenet121_best.pt,vgg16,models_public\vgg16_best.pt,ensemble,0.0392156862745098,0.00784313725490196,12,1.0,False,0.3,0.85,32,1.0,0.96875,0.96875,0.96875,0.967741935483871,0.967741935483871,0.9875715573628744,0.9875715573628744,95.57144103511688,95.57144103511688,ensemble,ens_e10_a2_s12_m1.0_d0.3,leave_one_out_ensemble
resnet18+resnet34+vgg16,models_public\resnet18_best.pt|models_public\resnet34_best.pt|models_public\vgg16_best.pt,densenet121,models_public\densenet121_best.pt,ensemble,0.0392156862745098,0.00784313725490196,12,1.0,False,0.3,0.85,32,1.0,0.96875,0.96875,1.0,1.0,1.0,0.9876646841725996,0.9876646841725996,98.76646841725996,98.76646841725996,ensemble,ens_e10_a2_s12_m1.0_d0.3,leave_one_out_ensemble
resnet34+vgg16+densenet121,models_public\resnet34_best.pt|models_public\vgg16_best.pt|models_public\densenet121_best.pt,resnet18,models_public\resnet18_best.pt,ensemble,0.047058823529411764,0.00784313725490196,12,1.0,False,0.0,0.9,32,1.0,0.9375,0.9375,1.0,1.0,1.0,0.9828243573506673,0.9828243573506673,98.28243573506673,98.28243573506673,ensemble,ens_e12_a2_s12_m1.0,leave_one_out_ensemble
resnet18+vgg16+densenet121,models_public\resnet18_best.pt|models_public\vgg16_best.pt|models_public\densenet121_best.pt,resnet34,models_public\resnet34_best.pt,ensemble,0.047058823529411764,0.00784313725490196,12,1.0,False,0.0,0.9,32,0.96875,1.0,0.96875,1.0,1.0,1.0,0.9826091825962067,0.9830501002650107,98.26091825962067,98.30501002650107,ensemble,ens_e12_a2_s12_m1.0,leave_one_out_ensemble
resnet18+resnet34+densenet121,models_public\resnet18_best.pt|models_public\resnet34_best.pt|models_public\densenet121_best.pt,vgg16,models_public\vgg16_best.pt,ensemble,0.047058823529411764,0.00784313725490196,12,1.0,False,0.0,0.9,32,1.0,0.96875,0.96875,0.96875,0.967741935483871,0.967741935483871,0.9830864270528158,0.9830864270528158,95.13739616640153,95.13739616640153,ensemble,ens_e12_a2_s12_m1.0,leave_one_out_ensemble
resnet18+resnet34+vgg16,models_public\resnet18_best.pt|models_public\resnet34_best.pt|models_public\vgg16_best.pt,densenet121,models_public\densenet121_best.pt,ensemble,0.047058823529411764,0.00784313725490196,12,1.0,False,0.0,0.9,32,1.0,0.96875,0.96875,1.0,1.0,1.0,0.9831814612111738,0.9831814612111738,98.31814612111738,98.31814612111738,ensemble,ens_e12_a2_s12_m1.0,leave_one_out_ensemble
